frequency_hz,normalized_impedance_real,normalized_impedance_imag
500,0.208993,-4.00011
600,0.199799,-3.15951
700,0.157223,-2.55145
800,0.140159,-2.07455
900,0.140240,-1.68855
1000,0.136707,-1.36468
1100,0.142061,-1.08782
1200,0.147208,-0.834186
1300,0.144331,-0.596172
1400,0.131270,-0.371303
1500,0.141311,-0.156527
1600,0.110037,0.0307844
1700,0.112767,0.185430
1800,0.126768,0.348712
1900,0.134896,0.507804
2000,0.140540,0.663212
2100,0.144333,0.816180
2200,0.148905,0.968086
2300,0.163155,1.11990
2400,0.172432,1.26946
2500,0.184301,1.41122
